"subNumber","automation","nback","runNumber","eventType","type","steering","rt","jerk","minTTC","crash","Age"
18,"PAD","2-Back",2,"ONCOMING_VEHICLES","Mainly brake",0,0.833399999999983,0.358281728508831,0,1,35
18,"PAD","2-Back",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.44999999999999,0.198699757998381,1.93695103274142,0,35
18,"PAD","2-Back",2,"LEFT_PEDESTRIAN","Mainly brake",0,2,0.676479297319679,1.44173202959383,0,35
18,"MD","No Task",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.5,-0.879885209784119,2.66644776580251,0,35
18,"MD","No Task",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.0333,-1.76654007346637,2.29729478213189,0,35
18,"MD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,0.75,0.723640961028797,0,1,35
18,"PAD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,0.699999999999989,0.370339879997265,0,1,35
18,"PAD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.6334,0.676765631196988,1.80149912134074,0,35
18,"PAD","No Task",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.98329999999999,-0.394949221040207,1.03055405330457,0,35
19,"PAD","2-Back",1,"RIGHT_PEDESTRIAN","Brake and steer",1,2.55000000000001,0.0777281178202501,0,1,46
19,"PAD","2-Back",1,"LEFT_PEDESTRIAN","Mainly steer",1,2.39999999999998,0.612957272285514,0.537138969142493,0,46
19,"PAD","2-Back",1,"ONCOMING_VEHICLES","Mainly steer",1,1.10000000000002,1.3023030753477,0,1,46
19,"MD","No Task",2,"LEFT_PEDESTRIAN","Brake and steer",1,3.25,0.790012141365084,0,1,46
19,"MD","No Task",2,"RIGHT_PEDESTRIAN","Brake and steer",1,1.7833,-1.1911664493253,2.08195017796473,0,46
19,"MD","No Task",2,"ONCOMING_VEHICLES","Brake and steer",1,1.41669999999999,-0.481169701038038,0.182648358212257,0,46
